# Reference      Predicted      Error          
0.00096         0.00996         0.00900        
-0.00225        0.00295         0.00521        
0.00129         -0.01290        0.01419        
-0.00225        0.00295         0.00521        
0.00096         0.00997         0.00900        
-0.00129        0.01291         0.01420        
-0.00096        -0.00997        0.00901        
0.00225         -0.00296        0.00521        
-0.00129        0.01290         0.01419        
-0.00096        -0.00998        0.00902        
0.00225         -0.00295        0.00520        
0.00129         -0.01291        0.01420        
0.00096         0.00997         0.00900        
-0.00225        0.00295         0.00521        
0.00129         -0.01292        0.01421        
-0.00225        0.00295         0.00521        
0.00096         0.00995         0.00899        
-0.00129        0.01292         0.01421        
-0.00096        -0.00995        0.00899        
0.00225         -0.00294        0.00520        
-0.00129        0.01292         0.01421        
-0.00096        -0.00995        0.00899        
0.00225         -0.00295        0.00521        
0.00000         0.00000         0.00000        
0.00000         -0.00000        0.00000        
0.00000         -0.00000        0.00000        
0.00000         0.00000         0.00000        
0.00000         0.00000         0.00000        
-0.00000        -0.00000        0.00000        
-0.01456        -0.01424        0.00032        
0.01456         0.01425         0.00031        
-0.01456        -0.01424        0.00032        
0.01456         0.01424         0.00032        
-0.01456        -0.01424        0.00032        
0.01456         0.01425         0.00032        
-0.01456        -0.01424        0.00032        
0.01456         0.01425         0.00031        
0.00000         -0.00002        0.00002        
0.00000         -0.00000        0.00000        
0.00031         -0.07082        0.07113        
-0.00031        0.07084         0.07116        
-0.00031        0.07083         0.07114        
0.00031         -0.07084        0.07116        
0.00031         -0.07084        0.07115        
-0.00031        0.07084         0.07115        
-0.00031        0.07083         0.07114        
0.00031         -0.07083        0.07114        
0.00000         0.00001         0.00001        
-0.00000        -0.00001        0.00001        
0.00031         -0.07084        0.07116        
-0.00031        0.07084         0.07115        
-0.00031        0.07084         0.07115        
0.00031         -0.07083        0.07114        
0.00031         -0.07083        0.07114        
-0.00031        0.07084         0.07115        
-0.00031        0.07083         0.07115        
0.00031         -0.07085        0.07116        
-0.00000        0.00001         0.00001        
